START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/21/25,01:10 PM,03:10 PM,Rockies at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: MLB Audio",02/21/25,02/21/25,04:10 PM,06:10 PM,FALSE,TRUE,02/21/25,12:10 PM,02:10 PM,FREE,BUSY
02/22/25,01:10 PM,03:10 PM,D-backs at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local TV: Arizona Diamondbacks ----- Local Radio: ESPN Phoenix 620",02/22/25,02/22/25,04:10 PM,06:10 PM,FALSE,TRUE,02/22/25,12:10 PM,02:10 PM,FREE,BUSY
02/23/25,01:10 PM,03:10 PM,D-backs at Mariners,Peoria Stadium - Peoria,"Local Radio: ESPN Phoenix 620",02/23/25,02/23/25,04:10 PM,06:10 PM,FALSE,TRUE,02/23/25,12:10 PM,02:10 PM,FREE,BUSY
02/24/25,01:10 PM,03:10 PM,Guardians at D-backs,Salt River Fields at Talking Stick - Scottsdale,"",02/24/25,02/24/25,04:10 PM,06:10 PM,FALSE,TRUE,02/24/25,12:10 PM,02:10 PM,FREE,BUSY
02/25/25,01:05 PM,03:05 PM,D-backs at Cubs,Sloan Park - Mesa,"",02/25/25,02/25/25,04:05 PM,06:05 PM,FALSE,TRUE,02/25/25,12:05 PM,02:05 PM,FREE,BUSY
02/26/25,01:10 PM,03:10 PM,Brewers at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: MLB Audio",02/26/25,02/26/25,04:10 PM,06:10 PM,FALSE,TRUE,02/26/25,12:10 PM,02:10 PM,FREE,BUSY
02/27/25,01:05 PM,03:05 PM,D-backs at Reds,Goodyear Ballpark - Goodyear,"",02/27/25,02/27/25,04:05 PM,06:05 PM,FALSE,TRUE,02/27/25,12:05 PM,02:05 PM,FREE,BUSY
02/28/25,01:10 PM,03:10 PM,Royals at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: MLB Audio",02/28/25,02/28/25,04:10 PM,06:10 PM,FALSE,TRUE,02/28/25,12:10 PM,02:10 PM,FREE,BUSY
03/01/25,01:10 PM,03:10 PM,Rockies at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local TV: Arizona Diamondbacks ----- Local Radio: 98.7 FM Arizona's Sports Station",03/01/25,03/01/25,04:10 PM,06:10 PM,FALSE,TRUE,03/01/25,12:10 PM,02:10 PM,FREE,BUSY
03/02/25,01:05 PM,03:05 PM,D-backs at Rangers,Surprise Stadium - Surprise,"Local Radio: 98.7 FM Arizona's Sports Station",03/02/25,03/02/25,04:05 PM,06:05 PM,FALSE,TRUE,03/02/25,12:05 PM,02:05 PM,FREE,BUSY
03/03/25,01:10 PM,03:10 PM,Cubs at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: MLB Audio",03/03/25,03/03/25,04:10 PM,06:10 PM,FALSE,TRUE,03/03/25,12:10 PM,02:10 PM,FREE,BUSY
